"small","num","big"
"Biological, Agricultural, and Environmental Sciences","1100","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1101","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1102","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1103","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1104","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1105","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1106","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1199","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1301","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1302","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1303","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3600","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3601","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3602","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3603","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3604","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3605","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3606","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3607","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3608","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3609","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3610","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3611","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3699","Science and Engineering Group"
"Business","3201","Business"
"Business","6101","Business"
"Business","6200","Business"
"Business","6201","Business"
"Business","6202","Business"
"Business","6203","Business"
"Business","6204","Business"
"Business","6205","Business"
"Business","6206","Business"
"Business","6207","Business"
"Business","6208","Business"
"Business","6209","Business"
"Business","6210","Business"
"Business","6211","Business"
"Business","6212","Business"
"Business","6299","Business"
"Communications","1901","Arts, Humanities, and Other"
"Communications","1902","Arts, Humanities, and Other"
"Communications","1903","Arts, Humanities, and Other"
"Communications","1904","Arts, Humanities, and Other"
"Communications","2001","Arts, Humanities, and Other"
