code,code2,occupation
10,10,MGR-Chief Executives And Legislators
20,20,MGR-General And Operations Managers
40,40,MGR-Advertising And Promotions Managers
50,50,MGR-Marketing And Sales Managers
60,60,MGR-Public Relations And Fundraising Managers
100,100,MGR-Administrative Services Managers
110,110,MGR-Computer And Information Systems Managers
120,120,MGR-Financial Managers
135,135,MGR-Compensation And Benefits Managers
136,136,MGR-Human Resources Managers
137,137,MGR-Training And Development Managers
140,140,MGR-Industrial Production Managers
150,150,MGR-Purchasing Managers
160,160,"MGR-Transportation, Storage, And Distribution Managers"
205,205,"MGR-Farmers, Ranchers, And Other Agricultural Managers"
220,220,MGR-Construction Managers
230,230,MGR-Education Administrators
300,300,MGR-Architectural And Engineering Managers
310,310,MGR-Food Service Managers
330,330,MGR-Gaming Managers
340,340,MGR-Lodging Managers
350,350,MGR-Medical And Health Services Managers
360,360,MGR-Natural Sciences Managers
410,410,"MGR-Property, Real Estate, And Community Association Managers"
420,420,MGR-Social And Community Service Managers
425,425,MGR-Emergency Management Directors
430,430,"MGR-Miscellaneous Managers, Including Funeral Service Managers And Postmasters And Mail Superintendents"
500,500,"BUS-Agents And Business Managers Of Artists, Performers, And Athletes"
510,510,"BUS-Buyers And Purchasing Agents, Farm Products"
520,520,"BUS-Wholesale And Retail Buyers, Except Farm Products"
530,530,"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products"
540,540,"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators"
565,565,BUS-Compliance Officers
600,600,BUS-Cost Estimators
630,630,BUS-Human Resources Workers
640,640,"BUS-Compensation, Benefits, And Job Analysis Specialists"
650,650,BUS-Training And Development Specialists
700,700,BUS-Logisticians
710,710,BUS-Management Analysts
725,725,"BUS-Meeting, Convention, And Event Planners"
726,726,BUS-Fundraisers
735,735,BUS-Market Research Analysts And Marketing Specialists
740,740,"BUS-Business Operations Specialists, All Other"
800,800,FIN-Accountants And Auditors
810,810,FIN-Appraisers And Assessors Of Real Estate
820,820,FIN-Budget Analysts
830,830,FIN-Credit Analysts
840,840,FIN-Financial Analysts
850,850,FIN-Personal Financial Advisors
860,860,FIN-Insurance Underwriters
900,900,FIN-Financial Examiners
910,910,FIN-Credit Counselors And Loan Officers
930,930,"FIN-Tax Examiners And Collectors, And Revenue Agents"
940,940,FIN-Tax Preparers
950,950,"FIN-Financial Specialists, All Other"
1005,1005,CMM-Computer And Information Research Scientists
1006,1006,CMM-Computer Systems Analysts
1007,1007,CMM-Information Security Analysts
1010,1010,CMM-Computer Programmers
1020,1020,"CMM-Software Developers, Applications And Systems Software"
1030,1030,CMM-Web Developers
1050,1050,CMM-Computer Support Specialists
1060,1060,CMM-Database Administrators
1105,1105,CMM-Network And Computer Systems Administrators
1106,1106,CMM-Computer Network Architects
1107,1107,"CMM-Computer Occupations, All Other"
1200,1200,CMM-Actuaries
1220,1220,CMM-Operations Research Analysts
1240,1240,"CMM-Miscellaneous Mathematical Science Occupations, Including Mathematicians And Statisticians"
1300,1300,"ENG-Architects, Except Naval"
1310,1310,"ENG-Surveyors, Cartographers, And Photogrammetrists"
1320,1320,ENG-Aerospace Engineers
1340,1340,ENG-Biomedical And Agricultural Engineers
1350,1350,ENG-Chemical Engineers
1360,1360,ENG-Civil Engineers
1400,1400,ENG-Computer Hardware Engineers
1410,1410,ENG-Electrical And Electronics Engineers
1420,1420,ENG-Environmental Engineers
1430,1430,"ENG-Industrial Engineers, Including Health And Safety"
1440,1440,ENG-Marine Engineers And Naval Architects
1450,1450,ENG-Materials Engineers
1460,1460,ENG-Mechanical Engineers
1520,1520,"ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers"
1530,1530,"ENG-Miscellaneous Engineers, Including Nuclear Engineers"
1540,1540,ENG-Drafters
1550,1550,"ENG-Engineering Technicians, Except Drafters"
1560,1560,ENG-Surveying And Mapping Technicians
1600,1600,SCI-Agricultural And Food Scientists
1610,1610,SCI-Biological Scientists
1640,1640,SCI-Conservation Scientists And Foresters
1650,1650,"SCI-Medical Scientists, And Life Scientists, All Other"
1700,1700,SCI-Astronomers And Physicists
1710,1710,SCI-Atmospheric And Space Scientists
1720,1720,SCI-Chemists And Materials Scientists
1740,1740,SCI-Environmental Scientists And Geoscientists
1760,1760,"SCI-Physical Scientists, All Other"
1800,1800,SCI-Economists
1820,1820,SCI-Psychologists
1840,1840,SCI-Urban And Regional Planners
1860,1860,"SCI-Miscellaneous Social Scientists, Including Survey Researchers And Sociologists"
1900,1900,SCI-Agricultural And Food Science Technicians
1910,1910,SCI-Biological Technicians
1920,1920,SCI-Chemical Technicians
1930,1930,"SCI-Geological And Petroleum Technicians, And Nuclear Technicians"
1965,1965,"SCI-Miscellaneous Life, Physical, And Social Science Technicians, Including Social Science Research Assistants"
2000,2000,CMS-Counselors
2010,2010,CMS-Social Workers
2015,2015,CMS-Probation Officers And Correctional Treatment Specialists
2016,2016,CMS-Social And Human Service Assistants
2025,2025,"CMS-Miscellaneous Community And Social Service Specialists, Including Health Educators And Community Health Workers"
2040,2040,CMS-Clergy
2050,2050,"CMS-Directors, Religious Activities And Education"
2060,2060,"CMS-Religious Workers, All Other"
2100,2100,"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers"
2105,2105,LGL-Judicial Law Clerks
2145,2145,LGL-Paralegals And Legal Assistants
2160,2160,LGL-Miscellaneous Legal Support Workers
2200,2200,EDU-Postsecondary Teachers
2300,2300,EDU-Preschool And Kindergarten Teachers
2310,2310,EDU-Elementary And Middle School Teachers
2320,2320,EDU-Secondary School Teachers
2330,2330,EDU-Special Education Teachers
2340,2340,EDU-Other Teachers And Instructors
2400,2400,"EDU-Archivists, Curators, And Museum Technicians"
2430,2430,EDU-Librarians
2440,2440,EDU-Library Technicians
2540,2540,EDU-Teacher Assistants
2550,2550,"EDU-Other Education, Training, And Library Workers"
2600,2600,ENT-Artists And Related Workers
2630,2630,ENT-Designers
2700,2700,ENT-Actors
2710,2710,ENT-Producers And Directors
2720,2720,"ENT-Athletes, Coaches, Umpires, And Related Workers"
2740,2740,ENT-Dancers And Choreographers
2750,2750,"ENT-Musicians, Singers, And Related Workers"
2760,2760,"ENT-Entertainers And Performers, Sports And Related Workers, All Other"
2800,2800,ENT-Announcers
2810,2810,"ENT-News Analysts, Reporters And Correspondents"
2825,2825,ENT-Public Relations Specialists
2830,2830,ENT-Editors
2840,2840,ENT-Technical Writers
2850,2850,ENT-Writers And Authors
2860,2860,ENT-Miscellaneous Media And Communication Workers
2900,2900,"ENT-Broadcast And Sound Engineering Technicians And Radio Operators, And Media And Communication Equipment Workers, All Other"
2910,2910,ENT-Photographers
2920,2920,"ENT-Television, Video, And Motion Picture Camera Operators And Editors"
3000,3000,MED-Chiropractors
3010,3010,MED-Dentists
3030,3030,MED-Dietitians And Nutritionists
3040,3040,MED-Optometrists
3050,3050,MED-Pharmacists
3060,3060,MED-Physicians And Surgeons
3110,3110,MED-Physician Assistants
3120,3120,MED-Podiatrists
3140,3140,MED-Audiologists
3150,3150,MED-Occupational Therapists
3160,3160,MED-Physical Therapists
3200,3200,MED-Radiation Therapists
3210,3210,MED-Recreational Therapists
3220,3220,MED-Respiratory Therapists
3230,3230,MED-Speech-Language Pathologists
